Symbol,Exchange,Price,Quantity
ABC,W,0.45,35
DEF,X,0.09,20
GHI,Y,0.16,20
ABC,Z,0.22,45
DEF,W,0.22,40
GHI,X,0.47,10
ABC,Y,0.10,50
DEF,Z,0.08,15
GHI,W,0.18,25
ABC,X,0.07,25
DEF,Y,0.10,35
GHI,Z,0.33,10
ABC,W,0.20,10
DEF,X,0.15,45
GHI,Y,0.36,15
ABC,Z,0.11,25
DEF,W,0.38,10
GHI,X,0.16,25
ABC,Y,0.26,45
DEF,Z,0.11,10
GHI,W,0.40,10
ABC,X,0.26,35
DEF,Y,0.33,10
GHI,Z,0.19,15
ABC,W,0.15,20
DEF,X,0.50,20
GHI,Y,0.49,10
ABC,Z,0.35,30
DEF,W,0.35,45
GHI,X,0.04,15
ABC,Y,0.45,25
DEF,Z,0.42,15
GHI,W,0.20,25
ABC,X,0.48,5
DEF,Y,0.40,40
GHI,Z,0.44,40
